Title,Genre,Release date,No. of seasons,No. of episodes,Status,Last aired,Duration,Original language,Rating,Actor
Penny Dreadful,{Drama Gothic horror Thriller Dark fantasy Historical fantasy},May 11 2014,3,27,Finished,2016,47-60 minutes,English,8.2,Eva,Green
Penny Dreadful,{Drama Gothic horror Thriller Dark fantasy Historical fantasy},May 11 2014,3,27,Finished,2016,47-60 minutes,English,8.2,Josh,Hartnett
Penny Dreadful,{Drama Gothic horror Thriller Dark fantasy Historical fantasy},May 11 2014,3,27,Finished,2016,47-60 minutes,English,8.2,Rory,Kinnear
Penny Dreadful,{Drama Gothic horror Thriller Dark fantasy Historical fantasy},May 11 2014,3,27,Finished,2016,47-60 minutes,English,8.2,Harry,Treadaway
Penny Dreadful,{Drama Gothic horror Thriller Dark fantasy Historical fantasy},May 11 2014,3,27,Finished,2016,47-60 minutes,English,8.2,Billie,Piper
Penny Dreadful,{Drama Gothic horror Thriller Dark fantasy Historical fantasy},May 11 2014,3,27,Finished,2016,47-60 minutes,English,8.2,Timothy,Dalton
Narcos,{Crime drama Biographical},Aug 28 2015,3,30,Finished,2017,43-60 minutes,Spanish,8.8,Wagner,Moura
Narcos,{Crime drama Biographical},Aug 28 2015,3,30,Finished,2017,43-60 minutes,Spanish,8.8,Boyd,Holbrook
Narcos,{Crime drama Biographical},Aug 28 2015,3,30,Finished,2017,43-60 minutes,Spanish,8.8,Pedro,Pascal
Narcos,{Crime drama Biographical},Aug 28 2015,3,30,Finished,2017,43-60 minutes,Spanish,8.8,Damian,Alcazar
Narcos,{Crime drama Biographical},Aug 28 2015,3,30,Finished,2017,43-60 minutes,Spanish,8.8,Alberto,Ammann
Daredevil,{Crime drama Action Legal drama Superhero},Apr 10 2015,3,39,Finished,2018,46-61 minutes,English,8.6,Charlie,Cox
Daredevil,{Crime drama Action Legal drama Superhero},Apr 10 2015,3,39,Finished,2018,46-61 minutes,English,8.6,Deborah Ann,Woll
Daredevil,{Crime drama Action Legal drama Superhero},Apr 10 2015,3,39,Finished,2018,46-61 minutes,English,8.6,Vincent,D Onofrio
Daredevil,{Crime drama Action Legal drama Superhero},Apr 10 2015,3,39,Finished,2018,46-61 minutes,English,8.6,Elden,Henson
Daredevil,{Crime drama Action Legal drama Superhero},Apr 10 2015,3,39,Finished,2018,46-61 minutes,English,8.6,Rosario,Dawson
Sherlock,{Crime Mystery Comedy drama},Jul 25 2010,4,13,Finished,2017,85-90 minutes,English,9.1,Benedict,Cumberbatch
Sherlock,{Crime Mystery Comedy drama},Jul 25 2010,4,13,Finished,2017,85-90 minutes,English,9.1,Mark,Gatiss
Sherlock,{Crime Mystery Comedy drama},Jul 25 2010,4,13,Finished,2017,85-90 minutes,English,9.1,Una,Stubbs
Sherlock,{Crime Mystery Comedy drama},Jul 25 2010,4,13,Finished,2017,85-90 minutes,English,9.1,Andrew,Scott
Sherlock,{Crime Mystery Comedy drama},Jul 25 2010,4,13,Finished,2017,85-90 minutes,English,9.1,Martin,Freeman
